id,order_id,product_id,quantity,price_at_purchase
1,SYN000001,v5,2,149.0
2,SYN000001,f5,1,99.0
3,SYN000001,f4,3,199.0
4,SYN000001,d5,2,249.0
5,SYN000001,d3,1,179.0
6,SYN000002,f6,3,179.0
7,SYN000002,v4,1,39.0
8,SYN000002,f2,2,49.0
9,SYN000002,f1,3,249.0
10,SYN000002,b3,3,199.0
11,SYN000003,f5,2,99.0
12,SYN000003,f6,1,179.0
13,SYN000003,v5,3,149.0
14,SYN000003,f1,2,249.0
15,SYN000003,f2,3,49.0
16,SYN000003,bv2,1,249.0
17,SYN000003,v1,2,89.0
18,SYN000004,f4,3,199.0
19,SYN000004,v3,1,79.0
20,SYN000004,v5,3,149.0
21,SYN000004,f2,3,49.0
22,SYN000005,f1,1,249.0
23,SYN000005,v1,1,89.0
24,SYN000005,d3,2,179.0
25,SYN000005,d4,1,99.0
26,SYN000005,d1,2,69.0
27,SYN000006,f3,2,149.0
28,SYN000006,v6,3,29.0
29,SYN000006,d5,2,249.0
30,SYN000006,f5,2,99.0
31,SYN000006,d3,3,179.0
32,SYN000006,f1,2,249.0
33,SYN000007,f4,1,199.0
34,SYN000007,v4,3,39.0
35,SYN000007,f5,2,99.0
36,SYN000007,f6,1,179.0
37,SYN000007,d3,1,179.0
38,SYN000008,f5,1,99.0
39,SYN000008,f6,3,179.0
40,SYN000008,f3,1,149.0
41,SYN000008,s1,1,399.0
42,SYN000009,d2,1,249.0
43,SYN000009,v4,1,39.0
44,SYN000009,f4,1,199.0
45,SYN000009,f6,1,179.0
46,SYN000009,d3,1,179.0
47,SYN000010,f6,2,179.0
48,SYN000010,s2,1,249.0
49,SYN000010,v4,2,39.0
50,SYN000010,f3,2,149.0
51,SYN000010,d1,2,69.0
52,SYN000010,f1,2,249.0
53,SYN000011,b5,3,299.0
54,SYN000011,d5,1,249.0
55,SYN000011,f3,2,149.0
56,SYN000011,bv3,2,199.0
57,SYN000012,v5,1,149.0
58,SYN000012,d5,2,249.0
59,SYN000012,v1,3,89.0
60,SYN000012,v2,3,49.0
61,SYN000012,v4,2,39.0
62,SYN000012,f1,2,249.0
63,SYN000012,d1,3,69.0
64,SYN000013,v1,3,89.0
65,SYN000013,v6,3,29.0
66,SYN000013,f4,2,199.0
67,SYN000013,v5,1,149.0
68,SYN000013,f6,1,179.0
69,SYN000013,d2,1,249.0
70,SYN000013,f3,1,149.0
71,SYN000014,v3,2,79.0
72,SYN000014,v5,3,149.0
73,SYN000014,f1,1,249.0
74,SYN000014,f6,1,179.0
75,SYN000014,d2,2,249.0
76,SYN000014,f4,3,199.0
77,SYN000014,b2,2,249.0
78,SYN000014,d5,1,249.0
79,SYN000015,d3,1,179.0
80,SYN000015,f5,2,99.0
81,SYN000015,v2,3,49.0
82,SYN000015,v3,3,79.0
83,SYN000015,f4,2,199.0
84,SYN000016,bv4,1,349.0
85,SYN000016,bv1,1,149.0
86,SYN000016,d3,3,179.0
87,SYN000016,f1,1,249.0
88,SYN000017,f6,3,179.0
89,SYN000017,s4,2,299.0
90,SYN000017,d5,1,249.0
91,SYN000017,v3,3,79.0
92,SYN000017,d1,3,69.0
93,SYN000017,f1,1,249.0
94,SYN000017,d3,2,179.0
95,SYN000018,f2,2,49.0
96,SYN000018,d4,3,99.0
97,SYN000018,d1,3,69.0
98,SYN000018,f1,2,249.0
99,SYN000018,f3,3,149.0
100,SYN000019,v2,3,49.0
101,SYN000019,f5,2,99.0
102,SYN000019,v5,3,149.0
103,SYN000019,f6,3,179.0
104,SYN000020,f6,2,179.0
105,SYN000020,f3,1,149.0
106,SYN000020,s2,2,249.0
107,SYN000020,v2,2,49.0
108,SYN000021,v1,2,89.0
109,SYN000021,f1,2,249.0
110,SYN000021,f6,3,179.0
111,SYN000021,bv4,2,349.0
112,SYN000021,v5,2,149.0
113,SYN000021,d2,2,249.0
114,SYN000022,b4,3,599.0
115,SYN000022,v4,2,39.0
116,SYN000022,d3,1,179.0
117,SYN000022,f5,3,99.0
118,SYN000023,v2,3,49.0
119,SYN000023,f5,1,99.0
120,SYN000023,v5,2,149.0
121,SYN000023,v1,2,89.0
122,SYN000023,f6,3,179.0
123,SYN000023,d2,1,249.0
124,SYN000023,v6,3,29.0
125,SYN000024,f3,2,149.0
126,SYN000024,f4,1,199.0
127,SYN000024,f6,3,179.0
128,SYN000024,d4,3,99.0
129,SYN000024,v4,3,39.0
130,SYN000025,f2,1,49.0
131,SYN000025,v5,1,149.0
132,SYN000025,b1,2,199.0
133,SYN000025,f5,3,99.0
134,SYN000025,v2,3,49.0
135,SYN000026,v1,3,89.0
136,SYN000026,s2,2,249.0
137,SYN000026,f2,3,49.0
138,SYN000026,v5,3,149.0
139,SYN000026,v4,1,39.0
140,SYN000026,v3,1,79.0
141,SYN000027,v4,1,39.0
142,SYN000027,f3,3,149.0
143,SYN000027,f5,3,99.0
144,SYN000027,f1,2,249.0
145,SYN000027,v6,2,29.0
146,SYN000027,bv4,3,349.0
147,SYN000028,d4,2,99.0
148,SYN000028,b3,3,199.0
149,SYN000028,v1,3,89.0
150,SYN000028,f4,3,199.0
151,SYN000028,v3,3,79.0
152,SYN000028,f1,1,249.0
153,SYN000029,v5,1,149.0
154,SYN000029,f5,1,99.0
155,SYN000029,f4,2,199.0
156,SYN000029,b4,2,599.0
157,SYN000029,d2,2,249.0
158,SYN000029,b2,2,249.0
159,SYN000029,f1,2,249.0
160,SYN000029,v6,2,29.0
161,SYN000030,f4,3,199.0
162,SYN000030,d3,2,179.0
163,SYN000030,v3,2,79.0
164,SYN000030,f5,2,99.0
165,SYN000030,d1,2,69.0
166,SYN000030,bv3,2,199.0
167,SYN000030,v4,3,39.0
168,SYN000031,f2,2,49.0
169,SYN000031,d5,2,249.0
170,SYN000031,v6,3,29.0
171,SYN000031,d1,2,69.0
172,SYN000031,f3,3,149.0
173,SYN000031,f4,1,199.0
174,SYN000031,v2,3,49.0
175,SYN000031,bv1,3,149.0
176,SYN000032,d3,2,179.0
177,SYN000032,f4,1,199.0
178,SYN000032,d4,2,99.0
179,SYN000032,v3,2,79.0
180,SYN000033,b4,1,599.0
181,SYN000033,d2,1,249.0
182,SYN000033,v2,3,49.0
183,SYN000033,v1,3,89.0
184,SYN000033,d1,1,69.0
185,SYN000033,f2,1,49.0
186,SYN000033,bv4,1,349.0
187,SYN000034,f3,2,149.0
188,SYN000034,f4,2,199.0
189,SYN000034,d2,3,249.0
190,SYN000034,d5,3,249.0
191,SYN000035,d4,2,99.0
192,SYN000035,v6,2,29.0
193,SYN000035,d5,2,249.0
194,SYN000035,f6,1,179.0
195,SYN000035,v1,1,89.0
196,SYN000035,v4,2,39.0
197,SYN000035,d1,3,69.0
198,SYN000035,v2,3,49.0
199,SYN000036,f1,3,249.0
200,SYN000036,d5,1,249.0
201,SYN000036,d4,2,99.0
202,SYN000036,f5,1,99.0
203,SYN000036,v4,3,39.0
204,SYN000036,v2,2,49.0
205,SYN000036,f2,3,49.0
206,SYN000036,f3,1,149.0
207,SYN000037,v4,2,39.0
208,SYN000037,d4,3,99.0
209,SYN000037,bv3,3,199.0
210,SYN000037,v1,1,89.0
211,SYN000037,d2,1,249.0
212,SYN000037,f1,1,249.0
213,SYN000037,f2,3,49.0
214,SYN000038,d2,2,249.0
215,SYN000038,v2,2,49.0
216,SYN000038,f3,2,149.0
217,SYN000038,f2,1,49.0
218,SYN000038,v1,3,89.0
219,SYN000039,v4,3,39.0
220,SYN000039,d3,1,179.0
221,SYN000039,f4,2,199.0
222,SYN000039,f5,3,99.0
223,SYN000040,v5,2,149.0
224,SYN000040,b1,3,199.0
225,SYN000040,bv4,3,349.0
226,SYN000040,f2,1,49.0
227,SYN000041,b2,1,249.0
228,SYN000041,d5,1,249.0
229,SYN000041,s3,3,99.0
230,SYN000041,f2,1,49.0
231,SYN000041,v6,2,29.0
232,SYN000042,v6,1,29.0
233,SYN000042,v1,3,89.0
234,SYN000042,f2,2,49.0
235,SYN000042,v5,1,149.0
236,SYN000042,d5,1,249.0
237,SYN000042,f6,3,179.0
238,SYN000042,v4,3,39.0
239,SYN000043,v3,3,79.0
240,SYN000043,bv1,3,149.0
241,SYN000043,f3,3,149.0
242,SYN000043,f5,2,99.0
243,SYN000043,v4,1,39.0
244,SYN000043,f6,3,179.0
245,SYN000043,v5,2,149.0
246,SYN000044,f3,3,149.0
247,SYN000044,d4,3,99.0
248,SYN000044,f6,1,179.0
249,SYN000044,v1,1,89.0
250,SYN000044,v2,3,49.0
251,SYN000044,v3,1,79.0
252,SYN000045,f6,2,179.0
253,SYN000045,b3,3,199.0
254,SYN000045,v4,2,39.0
255,SYN000045,f1,3,249.0
256,SYN000045,d1,2,69.0
257,SYN000045,f3,2,149.0
258,SYN000046,f4,2,199.0
259,SYN000046,b2,3,249.0
260,SYN000046,v2,3,49.0
261,SYN000046,d4,3,99.0
262,SYN000046,d5,2,249.0
263,SYN000046,d3,2,179.0
264,SYN000047,v1,3,89.0
265,SYN000047,f2,1,49.0
266,SYN000047,f3,3,149.0
267,SYN000047,v2,1,49.0
268,SYN000047,d5,3,249.0
269,SYN000047,d1,1,69.0
270,SYN000048,d3,2,179.0
271,SYN000048,d2,1,249.0
272,SYN000048,v6,3,29.0
273,SYN000048,v4,3,39.0
274,SYN000049,f6,2,179.0
275,SYN000049,v5,3,149.0
276,SYN000049,v1,3,89.0
277,SYN000049,v2,2,49.0
278,SYN000049,f1,3,249.0
279,SYN000049,d3,1,179.0
280,SYN000050,f6,1,179.0
281,SYN000050,v2,2,49.0
282,SYN000050,f3,3,149.0
283,SYN000050,v4,3,39.0
284,SYN000051,v6,1,29.0
285,SYN000051,f6,1,179.0
286,SYN000051,v4,3,39.0
287,SYN000051,v3,2,79.0
288,SYN000051,d4,3,99.0
289,SYN000051,f4,3,199.0
290,SYN000052,v5,2,149.0
291,SYN000052,f1,2,249.0
292,SYN000052,v6,2,29.0
293,SYN000052,v3,2,79.0
294,SYN000052,f3,1,149.0
295,SYN000053,v6,3,29.0
296,SYN000053,v1,1,89.0
297,SYN000053,f4,1,199.0
298,SYN000053,f5,2,99.0
299,SYN000053,v4,1,39.0
