id,product_id,date,quantity_sold,revenue
1,f1,2025-08-21,5,1245.0
2,f2,2025-08-21,6,294.0
3,f3,2025-08-21,9,1341.0
4,f4,2025-08-21,8,1592.0
5,f5,2025-08-21,6,594.0
6,f6,2025-08-21,7,1253.0
7,v1,2025-08-21,6,534.0
8,v2,2025-08-21,8,392.0
9,v3,2025-08-21,5,395.0
10,v4,2025-08-21,9,351.0
11,v5,2025-08-21,6,894.0
12,v6,2025-08-21,6,174.0
13,d1,2025-08-21,8,552.0
14,d2,2025-08-21,5,1245.0
15,d3,2025-08-21,5,895.0
16,d4,2025-08-21,9,891.0
17,d5,2025-08-21,4,996.0
18,b1,2025-08-21,8,1592.0
19,b2,2025-08-21,8,1992.0
20,b3,2025-08-21,4,796.0
21,b4,2025-08-21,2,1198.0
22,b5,2025-08-21,4,1196.0
23,bv1,2025-08-21,10,1490.0
24,bv2,2025-08-21,8,1992.0
25,bv3,2025-08-21,6,1194.0
26,bv4,2025-08-21,8,2792.0
27,s1,2025-08-21,5,1995.0
28,s2,2025-08-21,5,1245.0
29,s3,2025-08-21,9,891.0
30,s4,2025-08-21,5,1495.0
31,s5,2025-08-21,8,1592.0
32,f1,2025-08-22,6,1494.0
33,f2,2025-08-22,9,441.0
34,f3,2025-08-22,10,1490.0
35,f4,2025-08-22,8,1592.0
36,f5,2025-08-22,9,891.0
37,f6,2025-08-22,8,1432.0
38,v1,2025-08-22,7,623.0
39,v2,2025-08-22,11,539.0
40,v3,2025-08-22,6,474.0
41,v4,2025-08-22,11,429.0
42,v5,2025-08-22,7,1043.0
43,v6,2025-08-22,10,290.0
44,d1,2025-08-22,8,552.0
45,d2,2025-08-22,7,1743.0
46,d3,2025-08-22,6,1074.0
47,d4,2025-08-22,8,792.0
48,d5,2025-08-22,5,1245.0
49,b1,2025-08-22,7,1393.0
50,b2,2025-08-22,7,1743.0
51,b3,2025-08-22,6,1194.0
52,b4,2025-08-22,4,2396.0
53,b5,2025-08-22,4,1196.0
54,bv1,2025-08-22,10,1490.0
55,bv2,2025-08-22,10,2490.0
56,bv3,2025-08-22,6,1194.0
57,bv4,2025-08-22,10,3490.0
58,s1,2025-08-22,5,1995.0
59,s2,2025-08-22,7,1743.0
60,s3,2025-08-22,10,990.0
61,s4,2025-08-22,5,1495.0
62,s5,2025-08-22,8,1592.0
63,f1,2025-08-23,8,1992.0
64,f2,2025-08-23,10,490.0
65,f3,2025-08-23,8,1192.0
66,f4,2025-08-23,10,1990.0
67,f5,2025-08-23,13,1287.0
68,f6,2025-08-23,10,1790.0
69,v1,2025-08-23,7,623.0
70,v2,2025-08-23,10,490.0
71,v3,2025-08-23,10,790.0
72,v4,2025-08-23,12,468.0
73,v5,2025-08-23,5,745.0
74,v6,2025-08-23,10,290.0
75,d1,2025-08-23,8,552.0
76,d2,2025-08-23,9,2241.0
77,d3,2025-08-23,7,1253.0
78,d4,2025-08-23,8,792.0
79,d5,2025-08-23,8,1992.0
80,b1,2025-08-23,9,1791.0
81,b2,2025-08-23,8,1992.0
82,b3,2025-08-23,7,1393.0
83,b4,2025-08-23,4,2396.0
84,b5,2025-08-23,8,2392.0
85,bv1,2025-08-23,11,1639.0
86,bv2,2025-08-23,11,2739.0
87,bv3,2025-08-23,13,2587.0
88,bv4,2025-08-23,9,3141.0
89,s1,2025-08-23,7,2793.0
90,s2,2025-08-23,10,2490.0
91,s3,2025-08-23,12,1188.0
92,s4,2025-08-23,6,1794.0
93,s5,2025-08-23,9,1791.0
94,f1,2025-08-24,7,1743.0
95,f2,2025-08-24,9,441.0
96,f3,2025-08-24,7,1043.0
97,f4,2025-08-24,12,2388.0
98,f5,2025-08-24,12,1188.0
99,f6,2025-08-24,8,1432.0
100,v1,2025-08-24,9,801.0
101,v2,2025-08-24,10,490.0
102,v3,2025-08-24,7,553.0
103,v4,2025-08-24,9,351.0
104,v5,2025-08-24,6,894.0
105,v6,2025-08-24,10,290.0
106,d1,2025-08-24,9,621.0
107,d2,2025-08-24,7,1743.0
108,d3,2025-08-24,6,1074.0
109,d4,2025-08-24,8,792.0
110,d5,2025-08-24,8,1992.0
111,b1,2025-08-24,9,1791.0
112,b2,2025-08-24,6,1494.0
113,b3,2025-08-24,6,1194.0
114,b4,2025-08-24,4,2396.0
115,b5,2025-08-24,6,1794.0
116,bv1,2025-08-24,15,2235.0
117,bv2,2025-08-24,15,3735.0
118,bv3,2025-08-24,12,2388.0
119,bv4,2025-08-24,12,4188.0
120,s1,2025-08-24,5,1995.0
121,s2,2025-08-24,9,2241.0
122,s3,2025-08-24,8,792.0
123,s4,2025-08-24,9,2691.0
124,s5,2025-08-24,11,2189.0
125,f1,2025-08-25,6,1494.0
126,f2,2025-08-25,5,245.0
127,f3,2025-08-25,5,745.0
128,f4,2025-08-25,6,1194.0
129,f5,2025-08-25,7,693.0
130,f6,2025-08-25,3,537.0
131,v1,2025-08-25,5,445.0
132,v2,2025-08-25,7,343.0
133,v3,2025-08-25,5,395.0
134,v4,2025-08-25,5,195.0
135,v5,2025-08-25,3,447.0
136,v6,2025-08-25,4,116.0
137,d1,2025-08-25,5,345.0
138,d2,2025-08-25,3,747.0
139,d3,2025-08-25,4,716.0
140,d4,2025-08-25,4,396.0
141,d5,2025-08-25,4,996.0
142,b1,2025-08-25,4,796.0
143,b2,2025-08-25,4,996.0
144,b3,2025-08-25,3,597.0
145,b4,2025-08-25,3,1797.0
146,b5,2025-08-25,4,1196.0
147,bv1,2025-08-25,8,1192.0
148,bv2,2025-08-25,7,1743.0
149,bv3,2025-08-25,5,995.0
150,bv4,2025-08-25,6,2094.0
151,s1,2025-08-25,4,1596.0
152,s2,2025-08-25,5,1245.0
153,s3,2025-08-25,5,495.0
154,s4,2025-08-25,3,897.0
155,s5,2025-08-25,6,1194.0
156,f1,2025-08-26,4,996.0
157,f2,2025-08-26,6,294.0
158,f3,2025-08-26,6,894.0
159,f4,2025-08-26,5,995.0
160,f5,2025-08-26,6,594.0
161,f6,2025-08-26,4,716.0
162,v1,2025-08-26,6,534.0
163,v2,2025-08-26,6,294.0
164,v3,2025-08-26,5,395.0
165,v4,2025-08-26,7,273.0
166,v5,2025-08-26,3,447.0
167,v6,2025-08-26,7,203.0
168,d1,2025-08-26,6,414.0
169,d2,2025-08-26,4,996.0
170,d3,2025-08-26,5,895.0
171,d4,2025-08-26,5,495.0
172,d5,2025-08-26,3,747.0
173,b1,2025-08-26,5,995.0
174,b2,2025-08-26,6,1494.0
175,b3,2025-08-26,6,1194.0
176,b4,2025-08-26,3,1797.0
177,b5,2025-08-26,3,897.0
178,bv1,2025-08-26,8,1192.0
179,bv2,2025-08-26,7,1743.0
180,bv3,2025-08-26,6,1194.0
181,bv4,2025-08-26,6,2094.0
182,s1,2025-08-26,3,1197.0
183,s2,2025-08-26,7,1743.0
184,s3,2025-08-26,7,693.0
185,s4,2025-08-26,5,1495.0
186,s5,2025-08-26,6,1194.0
187,f1,2025-08-27,4,996.0
188,f2,2025-08-27,8,392.0
189,f3,2025-08-27,5,745.0
190,f4,2025-08-27,7,1393.0
191,f5,2025-08-27,5,495.0
192,f6,2025-08-27,5,895.0
193,v1,2025-08-27,6,534.0
194,v2,2025-08-27,8,392.0
195,v3,2025-08-27,5,395.0
196,v4,2025-08-27,9,351.0
197,v5,2025-08-27,6,894.0
198,v6,2025-08-27,7,203.0
199,d1,2025-08-27,6,414.0
200,d2,2025-08-27,6,1494.0
201,d3,2025-08-27,4,716.0
202,d4,2025-08-27,5,495.0
203,d5,2025-08-27,5,1245.0
204,b1,2025-08-27,6,1194.0
205,b2,2025-08-27,6,1494.0
206,b3,2025-08-27,5,995.0
207,b4,2025-08-27,3,1797.0
208,b5,2025-08-27,5,1495.0
209,bv1,2025-08-27,9,1341.0
210,bv2,2025-08-27,6,1494.0
211,bv3,2025-08-27,8,1592.0
212,bv4,2025-08-27,8,2792.0
213,s1,2025-08-27,5,1995.0
214,s2,2025-08-27,6,1494.0
215,s3,2025-08-27,5,495.0
216,s4,2025-08-27,5,1495.0
217,s5,2025-08-27,8,1592.0
218,f1,2025-08-28,8,1992.0
219,f2,2025-08-28,7,343.0
220,f3,2025-08-28,6,894.0
221,f4,2025-08-28,10,1990.0
222,f5,2025-08-28,10,990.0
223,f6,2025-08-28,5,895.0
224,v1,2025-08-28,6,534.0
225,v2,2025-08-28,6,294.0
226,v3,2025-08-28,8,632.0
227,v4,2025-08-28,9,351.0
228,v5,2025-08-28,6,894.0
229,v6,2025-08-28,9,261.0
230,d1,2025-08-28,9,621.0
231,d2,2025-08-28,4,996.0
232,d3,2025-08-28,5,895.0
233,d4,2025-08-28,6,594.0
234,d5,2025-08-28,5,1245.0
235,b1,2025-08-28,6,1194.0
236,b2,2025-08-28,6,1494.0
237,b3,2025-08-28,6,1194.0
238,b4,2025-08-28,4,2396.0
239,b5,2025-08-28,4,1196.0
240,bv1,2025-08-28,9,1341.0
241,bv2,2025-08-28,11,2739.0
242,bv3,2025-08-28,8,1592.0
243,bv4,2025-08-28,8,2792.0
244,s1,2025-08-28,5,1995.0
245,s2,2025-08-28,8,1992.0
246,s3,2025-08-28,6,594.0
247,s4,2025-08-28,4,1196.0
248,s5,2025-08-28,8,1592.0
249,f1,2025-08-29,6,1494.0
250,f2,2025-08-29,8,392.0
251,f3,2025-08-29,7,1043.0
252,f4,2025-08-29,9,1791.0
253,f5,2025-08-29,7,693.0
254,f6,2025-08-29,7,1253.0
255,v1,2025-08-29,7,623.0
256,v2,2025-08-29,6,294.0
257,v3,2025-08-29,7,553.0
258,v4,2025-08-29,9,351.0
259,v5,2025-08-29,5,745.0
260,v6,2025-08-29,11,319.0
261,d1,2025-08-29,6,414.0
262,d2,2025-08-29,5,1245.0
263,d3,2025-08-29,5,895.0
264,d4,2025-08-29,10,990.0
265,d5,2025-08-29,7,1743.0
266,b1,2025-08-29,8,1592.0
267,b2,2025-08-29,5,1245.0
268,b3,2025-08-29,7,1393.0
269,b4,2025-08-29,3,1797.0
270,b5,2025-08-29,5,1495.0
271,bv1,2025-08-29,8,1192.0
272,bv2,2025-08-29,9,2241.0
273,bv3,2025-08-29,6,1194.0
274,bv4,2025-08-29,7,2443.0
275,s1,2025-08-29,6,2394.0
276,s2,2025-08-29,6,1494.0
277,s3,2025-08-29,6,594.0
278,s4,2025-08-29,7,2093.0
279,s5,2025-08-29,9,1791.0
280,f1,2025-08-30,7,1743.0
281,f2,2025-08-30,13,637.0
282,f3,2025-08-30,10,1490.0
283,f4,2025-08-30,10,1990.0
284,f5,2025-08-30,13,1287.0
285,f6,2025-08-30,10,1790.0
286,v1,2025-08-30,8,712.0
287,v2,2025-08-30,12,588.0
288,v3,2025-08-30,7,553.0
289,v4,2025-08-30,12,468.0
290,v5,2025-08-30,7,1043.0
291,v6,2025-08-30,9,261.0
292,d1,2025-08-30,9,621.0
293,d2,2025-08-30,8,1992.0
294,d3,2025-08-30,8,1432.0
295,d4,2025-08-30,9,891.0
296,d5,2025-08-30,8,1992.0
297,b1,2025-08-30,9,1791.0
298,b2,2025-08-30,9,2241.0
299,b3,2025-08-30,8,1592.0
300,b4,2025-08-30,4,2396.0
301,b5,2025-08-30,8,2392.0
302,bv1,2025-08-30,15,2235.0
303,bv2,2025-08-30,16,3984.0
304,bv3,2025-08-30,10,1990.0
305,bv4,2025-08-30,11,3839.0
306,s1,2025-08-30,6,2394.0
307,s2,2025-08-30,8,1992.0
308,s3,2025-08-30,10,990.0
309,s4,2025-08-30,9,2691.0
310,s5,2025-08-30,13,2587.0
311,f1,2025-08-31,10,2490.0
312,f2,2025-08-31,11,539.0
313,f3,2025-08-31,9,1341.0
314,f4,2025-08-31,7,1393.0
315,f5,2025-08-31,13,1287.0
316,f6,2025-08-31,8,1432.0
317,v1,2025-08-31,7,623.0
318,v2,2025-08-31,11,539.0
319,v3,2025-08-31,7,553.0
320,v4,2025-08-31,10,390.0
321,v5,2025-08-31,5,745.0
322,v6,2025-08-31,8,232.0
323,d1,2025-08-31,8,552.0
324,d2,2025-08-31,9,2241.0
325,d3,2025-08-31,8,1432.0
326,d4,2025-08-31,11,1089.0
327,d5,2025-08-31,8,1992.0
328,b1,2025-08-31,8,1592.0
329,b2,2025-08-31,9,2241.0
330,b3,2025-08-31,7,1393.0
331,b4,2025-08-31,5,2995.0
332,b5,2025-08-31,6,1794.0
333,bv1,2025-08-31,14,2086.0
334,bv2,2025-08-31,13,3237.0
335,bv3,2025-08-31,8,1592.0
336,bv4,2025-08-31,8,2792.0
337,s1,2025-08-31,7,2793.0
338,s2,2025-08-31,8,1992.0
339,s3,2025-08-31,11,1089.0
340,s4,2025-08-31,9,2691.0
341,s5,2025-08-31,11,2189.0
342,f1,2025-09-01,4,996.0
343,f2,2025-09-01,4,196.0
344,f3,2025-09-01,4,596.0
345,f4,2025-09-01,5,995.0
346,f5,2025-09-01,6,594.0
347,f6,2025-09-01,4,716.0
348,v1,2025-09-01,6,534.0
349,v2,2025-09-01,5,245.0
350,v3,2025-09-01,3,237.0
351,v4,2025-09-01,5,195.0
352,v5,2025-09-01,3,447.0
353,v6,2025-09-01,7,203.0
354,d1,2025-09-01,7,483.0
355,d2,2025-09-01,5,1245.0
356,d3,2025-09-01,5,895.0
357,d4,2025-09-01,5,495.0
358,d5,2025-09-01,4,996.0
359,b1,2025-09-01,6,1194.0
